Frame Number,RMS Power (dBm),X-coordinate,Y-coordinate
134,-10.673160272695041,123.5,188.5
135,-10.31078223699704,124.5,189.5
136,-11.4404199353741,120.5,193.5
137,-11.622264577684167,120.5,193.5
138,-11.056421817999219,118.5,193.5
139,-10.231130183470372,118.5,192.5
140,-11.69444563771555,118.5,192.5
141,-11.34180452969497,118.5,192.5
142,-12.090010391087562,119.5,192.5
143,-11.313613352681621,118.5,193.5
144,-10.512182490188163,118.5,192.5
145,-10.8363486811606,119.5,192.5
146,-11.767202127141314,118.5,192.5
147,-12.164547373387727,118.5,192.5
148,-11.158817022487668,119.5,192.5
149,-12.042080952661642,119.5,192.5
150,-12.768642117899265,120.5,193.5
151,-11.422745596119288,117.5,195.5
152,-11.677223751924704,115.0,195.5
153,-11.404169914312403,98.0,195.5
154,-10.964017739957832,91.0,190.5
155,-11.117628272439394,75.5,182.5
156,-10.394842488604002,72.5,178.5
157,-10.823259508405425,72.0,175.5
158,-10.303707016621953,74.5,174.5
159,-11.39949025960771,77.5,170.5
160,-11.079025861217195,81.5,168.5
161,-11.29867326461908,86.0,163.5
162,-11.782547070341153,90.5,152.5
163,-11.212783190166864,93.5,152.5
164,-11.168652285061892,102.5,147.5
165,-11.301554417619165,106.0,146.5
166,-11.157569956502124,110.5,145.5
167,-10.832310211208984,110.0,142.5
168,-10.380159123442663,112.0,137.5
169,-10.8371894918538,115.0,135.5
170,-10.475328055036764,140.0,117.5
171,-9.625592818172384,147.5,112.5
172,-10.182503271145054,154.5,106.5
173,-9.87203610249717,160.5,100.5
174,-9.932645944907202,161.5,101.5
175,-10.680562366584445,181.5,96.5
176,-9.717030044296589,192.0,95.5
177,-8.78406153480611,204.0,95.5
178,-9.450152328387114,234.5,96.5
179,-9.018751476659542,279.5,97.5
180,-9.162240469448399,310.5,102.5
181,-9.453132151775165,310.5,101.5
182,-7.302158082459934,323.0,105.5
183,-8.343550266071455,332.0,106.5
184,-8.836352361105469,344.0,105.5
185,-8.48211446928122,353.0,106.5
186,-8.248908997462474,383.5,124.5
187,-8.23095202872972,386.5,130.5
188,-8.686612027842461,385.5,133.5
189,-8.225617204059718,384.5,138.5
190,-9.732152614801453,374.5,140.5
191,-9.79995365553033,360.5,141.5
192,-9.943167337234094,344.5,140.5
193,-9.95087848720553,314.5,138.5
194,-9.737178837455739,302.5,137.5
195,-9.160590883189792,268.5,138.5
196,-9.436986783856376,262.5,141.5
197,-9.375074889722178,255.5,141.5
198,-8.989331246616837,250.5,141.5
199,-9.021954824998366,242.5,140.5
200,-9.938974787213038,237.5,142.5
201,-9.883886516711787,206.5,149.5
202,-9.950371449426399,203.5,153.5
203,-9.295766872101519,197.5,155.5
204,-10.249501329367783,195.5,156.5
205,-9.26257725596837,195.5,157.5
206,-9.345165734494433,195.5,159.5
207,-9.804124683833386,197.0,159.5
208,-9.408570372139106,202.0,158.5
209,-9.027061705142565,200.5,138.5
210,-8.99014198015998,201.0,134.5
211,-8.353495511966932,199.0,127.5
212,-8.872339878112609,199.0,120.5
213,-7.935965151361747,201.0,115.5
214,-8.373874168138322,206.0,108.5
215,-7.991817558150267,207.0,104.5
216,-8.064503531124142,207.0,98.5
217,-8.008886065781674,202.5,72.5
218,-7.6178343629945475,202.5,66.5
219,-7.688236994542573,203.5,65.5
220,-7.260942294476189,203.5,60.5
221,-7.168236177410165,205.5,59.5
222,-6.77307777037443,209.5,56.5
223,-6.913299372649282,214.5,55.5
224,-6.652282159294314,220.5,50.5
225,-6.920621092371237,225.5,50.5
226,-6.110397090033049,254.5,47.5
227,-5.99480819747224,259.5,48.5
228,-5.881568251790348,266.5,50.5
229,-5.115203556610737,275.5,53.5
230,-5.69155852426308,285.5,57.5
231,-5.83786107014753,292.5,58.5
232,-5.904793852931245,299.0,61.5
233,-5.890205960959689,305.0,62.5
234,-5.365108478508885,322.5,69.5
235,-6.398649025475961,332.5,70.5
236,-6.381055676716051,339.5,72.5
237,-6.862986550415792,341.5,73.5
238,-7.466824153278619,345.5,74.5
239,-7.772895736030879,348.5,75.5
240,-8.38020994634616,350.5,75.5
241,-8.882110627046403,351.5,76.5
242,-8.017910939478844,340.5,86.5
243,-9.054168540232402,338.5,92.5
244,-9.338727617494257,320.0,103.5
245,-9.580043134938022,313.5,109.5
246,-10.500608189118896,304.5,113.5
247,-9.874052374744286,296.5,119.5
248,-8.979951921970983,291.5,126.5
249,-9.735586050621073,287.5,136.5
250,-10.501193757215667,281.5,159.5
251,-9.337821535584146,278.5,166.5
252,-9.018996737825764,269.5,171.5
253,-9.95845468832167,258.5,178.5
254,-9.37166458215408,249.5,181.5
255,-10.015054522774365,250.0,180.5
256,-10.536899454373653,232.0,185.5
257,-9.38942778978494,232.5,185.5
258,-9.757331267641938,223.5,185.5
259,-10.317631415108488,205.0,175.0
260,-10.381356033617063,204.0,169.0
261,-9.486333526381976,203.0,162.0
262,-9.875247641363094,203.0,154.0
263,-9.627931709479272,202.5,145.5
264,-8.866559663965784,204.0,139.0
265,-8.148622114814149,204.0,132.0
266,-8.080935781847597,205.5,126.5
267,-8.492618955701525,208.5,119.5
268,-8.174901511935373,214.5,108.5
269,-8.230705862055437,216.5,103.5
270,-8.37718251610028,232.5,85.5
271,-7.6154405757518955,238.5,85.5
272,-7.979041622575057,245.5,85.5
273,-8.670715708923614,251.5,86.5
274,-8.156817352184824,254.0,89.0
275,-9.529668067102753,258.0,92.0
276,-10.09931273375295,264.0,97.0
277,-8.903870801513804,269.0,103.0
278,-10.042733264214906,288.0,133.0
279,-9.830787199673676,289.0,141.0
280,-11.050173569250546,292.0,150.0
281,-9.882404859680749,295.5,159.5
282,-9.999334683524712,297.5,169.5
283,-9.783096044591208,296.0,178.0
284,-9.515761654462429,293.0,185.0
285,-10.567859883209078,287.0,190.0
286,-10.973201896695404,279.5,193.5
287,-10.159796489234195,250.5,210.5
288,-11.648316402774144,243.5,211.5
289,-11.596568761224542,230.5,212.5
290,-11.36717467849381,213.5,212.5
291,-10.722207072926697,195.5,211.5
292,-11.125260543858396,187.5,211.5
293,-11.822527154028657,181.5,211.5
294,-11.314745396277434,180.5,211.5
295,-11.69250849198027,182.5,215.5
296,-12.329681098176605,187.5,219.5
297,-11.950197336631332,190.5,219.5
298,-11.899530813021693,193.5,220.5
299,-11.866692987269863,194.5,219.5
300,-11.254842393918034,219.5,225.5
301,-10.666559889722002,232.5,225.5
302,-10.45691096826979,244.5,225.5
303,-11.186109926420038,252.5,226.5
304,-11.221171232986487,262.0,227.5
305,-10.957181248983312,262.0,227.5
306,-11.275934645147583,297.5,229.5
307,-11.37825645945802,315.5,230.5
308,-11.861545823934573,325.0,232.0
309,-11.035571468635158,332.0,233.0
310,-10.008538474896492,338.0,233.0
311,-11.477324353504914,338.0,232.5
312,-11.438236298864839,338.0,233.5
313,-10.214081600969147,338.0,232.5
314,-11.144071250879824,343.0,230.5
315,-10.914699734528385,338.0,229.5
316,-9.899055019340443,325.0,231.5
317,-9.960086339237112,325.0,231.5
318,-10.06061048973256,316.5,231.5
319,-11.726417099578486,302.0,237.0
320,-11.95938919299472,301.5,235.5
321,-11.883011119156707,290.5,236.5
322,-10.607108329506367,275.0,239.0
323,-11.434298725293692,262.0,240.0
324,-11.750773195864525,247.0,241.0
325,-11.964827005188539,239.0,255.0
326,-11.479432938622713,236.0,258.0
327,-11.431035857776369,232.0,259.0
328,-10.997626053986346,227.0,260.0
329,-11.220066861663746,223.0,262.0
330,-11.572517471507798,218.0,264.0
331,-11.542117690263566,216.5,265.5
332,-11.34008603795381,217.0,270.0
333,-11.2101885168196,219.0,273.0
334,-10.437795806158848,222.5,278.0
335,-10.587754976520765,226.0,280.0
336,-11.468685348727385,249.0,288.0
337,-11.16204422159539,256.5,289.0
338,-10.722156788984895,264.0,291.0
339,-11.337520354054124,271.0,291.0
340,-11.65723993703848,277.5,290.5
341,-10.626381171452977,284.0,290.0
342,-11.328921547743251,294.0,289.0
343,-11.227246380188982,302.5,288.5
344,-11.128855669484343,310.0,288.0
345,-11.232897838065117,320.5,287.5
346,-11.475626156086404,330.5,286.5
347,-12.345248726443536,338.5,285.5
348,-11.123094130061721,342.5,265.5
349,-10.505818510393379,343.0,261.0
350,-10.433814308583093,346.0,255.0
351,-9.737336203929617,345.0,248.0
352,-10.968152477116861,344.0,239.0
353,-10.809016958382587,339.0,231.0
354,-10.1905135737427,332.5,223.0
355,-11.342185415465336,279.5,190.0
356,-11.865998284460833,258.0,183.0
357,-10.957689485541929,240.5,177.5
358,-11.810198186912203,229.5,177.5
359,-11.99197577276837,221.0,179.5
360,-12.635166665957755,212.5,183.5
361,-12.846787109454652,206.5,188.5
362,-12.45828660546299,206.5,188.5
363,-12.415013400538605,202.0,193.5
364,-12.119241227967045,194.0,209.5
365,-11.866983656005596,190.5,214.5
366,-12.64613862189232,191.0,224.0
367,-11.80788988376223,190.5,232.0
368,-11.17184173823568,201.0,252.0
369,-12.10852643591529,203.0,269.0
370,-13.293645646470724,203.0,268.0
371,-13.716584825798215,201.5,276.0
372,-12.610572012073087,201.5,282.0
373,-13.2701922300354,199.5,294.0
374,-13.841838567611672,200.5,298.0
375,-13.949604035219332,200.5,299.0
376,-13.972463407922666,213.5,322.0
377,-13.56109078551336,218.5,329.0
378,-12.440708617584724,225.5,334.0
379,-13.277723354230123,231.5,338.0
380,-14.17131015232826,231.5,340.0
381,-13.175688069702495,231.5,342.0
382,-13.428331479269449,233.0,350.0
383,-12.979920599931432,232.5,349.5
384,-12.14268615427919,233.5,353.5
385,-12.475808604552022,240.0,363.5
386,-12.639061705238628,239.0,362.5
387,-12.865577335159479,240.5,368.0
388,-14.02373772154279,243.5,369.0
389,-15.018700003514205,244.5,371.0
390,-14.733362132240565,214.0,367.0
391,-15.240565998323499,203.5,363.0
392,-15.736836851996834,193.5,362.0
393,-14.9457542743501,186.5,361.0
394,-15.321200482097302,181.5,357.0
395,-13.594321572053289,177.5,357.0
396,-12.945265863289702,181.5,357.0
397,-12.651454906466546,185.0,358.5
398,-12.829591433640415,188.5,358.0
399,-14.051488380707966,190.5,354.0
400,-13.585245599336911,199.5,355.0
401,-12.383956522098751,200.0,350.0
402,-13.74823935361865,220.0,335.0
403,-14.624189522845484,234.0,333.0
404,-14.541481970718808,246.0,330.0
405,-12.466112589050697,253.0,326.0
406,-13.449246488400215,262.0,323.0
407,-14.167894839164163,268.5,319.0
408,-13.039350698833665,271.0,316.5
409,-11.769269260396399,279.0,314.5
410,-11.608514290172355,297.5,314.5
411,-11.33944485403639,312.0,314.5
412,-11.304349927538013,317.0,311.5
413,-12.821939186026698,320.0,305.5
414,-12.185880990685556,323.0,301.5
415,-11.843512237689309,343.0,275.5
416,-11.968211121197875,341.0,261.5
417,-11.17445759980654,337.0,249.5
418,-12.539790403650613,330.0,237.5
419,-13.172149158372196,325.5,225.0
420,-11.55420605207891,325.0,224.0
421,-12.050947612763004,317.5,197.0
422,-11.574292555120774,307.5,184.0
423,-10.082338076754848,302.5,172.0
424,-10.33609626265905,299.5,162.0
425,-11.39618807012929,282.0,133.5
426,-12.784773979311376,268.0,121.5
427,-12.31109423668823,257.0,120.5
428,-12.517360880231013,257.0,120.5
429,-12.892757130702787,246.0,120.5
430,-13.398158984497769,235.0,129.5
431,-10.819225090903736,236.0,134.5
432,-10.939584976546428,241.5,145.5
433,-10.921666662840382,274.0,173.5
434,-10.455559838239806,289.0,179.5
435,-11.92241210736251,303.0,183.5
436,-11.383634354724412,313.5,185.5
437,-11.865766702963299,320.5,185.5
438,-11.7463216946756,331.0,186.5
439,-9.968880029449794,353.0,185.5
440,-10.349122714661105,356.5,180.5
441,-11.64900316205211,356.5,179.5
442,-10.801534420149137,340.0,145.0
443,-9.79035031508291,332.0,135.0
444,-9.298357398923615,331.0,125.0
445,-9.571705139621209,329.5,114.5
446,-9.282752146143409,329.5,103.5
447,-9.978860028237817,329.5,91.5
448,-10.8590067046785,333.5,69.5
449,-9.704012943950705,333.5,69.5
450,-8.363116242377052,337.5,53.5
451,-8.567675713911255,331.5,44.5
452,-9.811574455395704,322.0,32.5
453,-8.897957963462922,315.0,22.5
454,-8.240144659462876,306.0,13.5
455,-9.376339967667759,299.0,7.5
456,-9.694356532891145,294.0,1.5
457,-9.424789071982222,300.0,60.5
458,-8.860693675842278,300.0,61.5
459,-9.860302027746085,297.0,61.5
460,-9.735728921754577,255.5,33.5
461,-9.645898157505899,256.5,39.5
462,-9.810411143273699,257.0,46.5
463,-11.085099317928407,261.0,56.5
464,-11.359059839004397,262.0,67.5
465,-10.466627478897392,265.0,79.5
466,-10.596061580325049,271.0,90.5
467,-10.861150817466822,273.0,103.5
468,-11.239082768327506,272.0,156.5
469,-11.271991653508147,268.0,168.5
470,-11.69777570052722,270.0,180.5
471,-11.91008259855918,272.0,191.5
472,-11.820097523549126,269.0,200.5
473,-12.529325075160642,261.0,210.5
474,-13.320996918488788,259.5,221.0
475,-13.711334284174875,255.0,230.5
476,-13.505489969512558,254.0,241.5
477,-12.619369644660116,259.0,273.5
478,-13.207282769312936,263.0,279.5
479,-13.959128008587797,270.5,286.0
480,-14.201747613099094,274.5,290.0
481,-12.861796389133623,281.0,296.0
482,-12.138361001688544,285.5,301.5
483,-12.350946800216146,281.5,305.5
484,-12.851795904927702,281.0,307.5
485,-13.347476003101338,282.0,311.5
486,-13.523950462783652,281.0,311.5
487,-12.89508148947623,291.0,324.5
488,-12.887521766080985,304.0,356.5
489,-13.037685052507339,311.0,366.5
490,-13.102404456827323,312.0,371.5
491,-12.23066590636779,312.0,372.5
492,-11.910284406057329,324.5,388.0
493,-12.333737768118402,328.5,395.0
494,-13.290293616477182,327.5,396.0
495,-13.769803407634523,327.5,397.0
496,-12.669249237365676,328.5,404.0
497,-12.578821998633137,330.5,405.0
498,-13.467192125829223,331.5,406.0
499,-14.1297355981718,331.5,406.0
500,-14.181000203953069,339.5,406.0
501,-12.964529966098123,344.5,406.0
502,-12.173616664092858,348.5,405.0
503,-12.256958832493112,354.5,410.0
504,-12.942168538550536,360.0,409.0
505,-13.350226714616877,357.0,407.0
506,-12.385527388963144,345.5,404.0
507,-12.398591371375327,345.5,404.0
508,-12.528665980328322,323.0,393.0
509,-13.972702079909547,330.5,435.0
510,-13.442261845569574,328.5,434.0
511,-13.34335461768707,329.5,434.0
512,-13.993104287316529,329.5,433.0
513,-13.6685092774418,328.5,433.0
514,-13.562264549168484,329.5,433.0
515,-13.468343716669573,328.5,433.0
516,-13.47087663089482,329.5,432.0
517,-13.703492720084288,327.5,433.0
518,-12.706041398595332,328.5,433.0
519,-13.937785076619129,328.5,433.0
520,-14.150392455842178,326.5,433.0
521,-13.33816164586029,325.5,432.0
522,-13.927463308733838,325.5,432.0
523,-14.74749998089024,318.5,436.0
524,-14.516678421646155,319.0,436.0
525,-14.764142664277838,317.5,437.0
526,-13.705242788513543,313.0,439.0
527,-14.188665147359927,313.0,438.0
528,-15.117892601366222,314.0,438.0
529,-14.58820526919029,314.0,438.0
530,-14.020479143916774,311.0,439.0
531,-15.363900984199697,312.0,439.0
532,-15.217579378020865,310.5,438.5
533,-14.265276386996465,307.5,438.0
534,-13.749882938266651,308.5,439.0
535,-15.168784657478508,306.5,438.5
536,-15.71879632649578,307.5,438.5
537,-16.253541735618033,307.5,438.5
538,-16.150068904478648,264.5,449.5
539,-14.067983396088975,239.5,449.5
540,-14.768690270380294,238.5,449.5
541,-15.552435574186598,218.0,444.0
542,-13.99211151278335,203.5,439.0
543,-13.829941609054332,194.5,427.0
544,-14.038327428155082,204.0,423.5
545,-13.979425381064111,203.5,426.5
546,-12.68376632658568,201.0,425.5
547,-12.984958516293716,200.5,425.0
548,-12.742088411405177,199.5,424.0
